2016-03-28 11:40:36,702 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-613
2016-03-28 11:40:42,044 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:40:42,046 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18108:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53729, localBroker= vm://Broker-three#18104
2016-03-28 11:40:42,046 | INFO  | Network connection between vm://Broker-three#18104 and tcp://localhost/127.0.0.1:61618@53729 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53729, localBroker= vm://Broker-three#18104
2016-03-28 11:40:42,048 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-605
2016-03-28 11:40:47,085 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:40:47,089 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18110:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53731, localBroker= vm://Broker-three#18106
2016-03-28 11:40:47,089 | INFO  | Network connection between vm://Broker-three#18106 and tcp://localhost/127.0.0.1:61618@53731 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53731, localBroker= vm://Broker-three#18106
2016-03-28 11:40:47,091 | INFO  | Broker-three bridge to Broker-two stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-three] Task-613
2016-03-28 11:40:52,133 | INFO  | Establishing network connection from vm://Broker-three?async=false to tcp://localhost:61618 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-three]
2016-03-28 11:40:52,135 | WARN  | Failed to add Connection Broker-three->Broker-two-62079-1458672414839-18112:1 due to javax.jms.InvalidClientIDException: Broker: Broker-three - Client: NC_Broker-two_inbound_Broker-three already connected from vm://Broker-three#4 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61618@53746, localBroker= vm://Broker-three#18108
