2016-03-28 10:51:28,259 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:28,262 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16936:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51171, localBroker= vm://Broker-two#16932
2016-03-28 10:51:28,262 | INFO  | Network connection between vm://Broker-two#16932 and tcp://localhost/127.0.0.1:61619@51171 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51171, localBroker= vm://Broker-two#16932
2016-03-28 10:51:28,264 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-600
2016-03-28 10:51:33,300 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:33,304 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16938:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51179, localBroker= vm://Broker-two#16934
2016-03-28 10:51:33,304 | INFO  | Network connection between vm://Broker-two#16934 and tcp://localhost/127.0.0.1:61619@51179 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51179, localBroker= vm://Broker-two#16934
2016-03-28 10:51:33,305 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-596
2016-03-28 10:51:38,342 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:38,344 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16940:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51185, localBroker= vm://Broker-two#16936
2016-03-28 10:51:38,344 | INFO  | Network connection between vm://Broker-two#16936 and tcp://localhost/127.0.0.1:61619@51185 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51185, localBroker= vm://Broker-two#16936
2016-03-28 10:51:38,346 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-600
2016-03-28 10:51:43,382 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:43,385 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16942:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51194, localBroker= vm://Broker-two#16938
2016-03-28 10:51:43,385 | INFO  | Network connection between vm://Broker-two#16938 and tcp://localhost/127.0.0.1:61619@51194 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51194, localBroker= vm://Broker-two#16938
2016-03-28 10:51:43,386 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-596
2016-03-28 10:51:48,420 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:48,423 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16944:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51196, localBroker= vm://Broker-two#16940
2016-03-28 10:51:48,423 | INFO  | Network connection between vm://Broker-two#16940 and tcp://localhost/127.0.0.1:61619@51196 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51196, localBroker= vm://Broker-two#16940
2016-03-28 10:51:48,426 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-600
2016-03-28 10:51:53,461 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:53,465 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16946:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51198, localBroker= vm://Broker-two#16942
2016-03-28 10:51:53,465 | INFO  | Network connection between vm://Broker-two#16942 and tcp://localhost/127.0.0.1:61619@51198 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51198, localBroker= vm://Broker-two#16942
2016-03-28 10:51:53,468 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-609
2016-03-28 10:51:58,501 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:51:58,504 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16948:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51201, localBroker= vm://Broker-two#16944
2016-03-28 10:51:58,504 | INFO  | Network connection between vm://Broker-two#16944 and tcp://localhost/127.0.0.1:61619@51201 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51201, localBroker= vm://Broker-two#16944
2016-03-28 10:51:58,507 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-596
2016-03-28 10:52:03,547 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:52:03,550 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16950:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51204, localBroker= vm://Broker-two#16946
2016-03-28 10:52:03,550 | INFO  | Network connection between vm://Broker-two#16946 and tcp://localhost/127.0.0.1:61619@51204 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51204, localBroker= vm://Broker-two#16946
2016-03-28 10:52:03,552 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-600
2016-03-28 10:52:08,584 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:52:08,587 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16952:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51209, localBroker= vm://Broker-two#16948
2016-03-28 10:52:08,587 | INFO  | Network connection between vm://Broker-two#16948 and tcp://localhost/127.0.0.1:61619@51209 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51209, localBroker= vm://Broker-two#16948
2016-03-28 10:52:08,589 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-609
2016-03-28 10:52:13,629 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 10:52:13,632 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-16954:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@51218, localBroker= vm://Broker-two#16950
