what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.spring",1328636998967
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe",1328636998967
stopped,bundle,org.jboss.tools.jst.css,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.css",1328636998967
stopped,bundle,org.jboss.tools.esb.ui,1.3.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.ui",1328636998967
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.tiles.ui",1328636998967
stopped,bundle,org.jboss.tools.seam.ui.pages,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.ui.pages",1328636998967
stopped,bundle,org.jboss.tools.seam.xml.ui,3.2.0.v20110730-1321-H261-Final,"org.jboss.tools.seam.xml.ui",1328636998967
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.ui",1328636998967
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.ui.palette",1328636998967
stopped,bundle,org.jboss.tools.jst.jsp,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.jsp",1328636998968
stopped,bundle,org.jboss.tools.jst.text.ext,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.text.ext",1328636998968
stopped,bundle,org.jboss.tools.jst.web.kb,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.kb",1328636998968
stopped,bundle,org.jboss.tools.common.el.ui,3.2.0.v20110729-1946-H142-Final,"org.jboss.tools.common.el.ui",1328636998968
stopped,bundle,org.jboss.tools.vpe.resref,3.2.0.v20110729-2146-H157-Final,"org.jboss.tools.vpe.resref",1328636998968
stopped,bundle,org.jboss.tools.common.resref.ui,3.2.0.v20110729-1946-H142-Final,"org.jboss.tools.common.resref.ui",1328636998968
stopped,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20110729-1946-H142-Final,"org.jboss.tools.common.verification.ui",1328636998968
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.xml.ui",1328636998968
stopped,bundle,org.jboss.tools.common.model.ui,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.model.ui",1328636998968
stopped,bundle,org.jboss.tools.common.text.ext,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.text.ext",1328636998968
stopped,bundle,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"org.scala-ide.sdt.core",1328636998968
stopped,bundle,org.scala-ide.sdt.aspects,2.0.0.v-2_09-201112200102-82421c5,"org.scala-ide.sdt.aspects",1328636998969
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1328636998969
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.apt.ui",1328636998969
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.ui",1328636998969
stopped,bundle,org.hibernate.eclipse.mapper,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.mapper",1328636998969
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.jpt.ui",1328636998969
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.jpt.core",1328636998971
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.ui",1328636998971
stopped,bundle,org.hibernate.eclipse.console,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.console",1328636998971
stopped,bundle,org.jboss.tools.common.el.core,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.el.core",1328636998971
stopped,bundle,org.jboss.tools.common.resref.core,3.1.0.v20110729-1946-H142-Final,"org.jboss.tools.common.resref.core",1328636998971
stopped,bundle,org.jboss.tools.jst.web.verification,3.1.0.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.verification",1328636998971
stopped,bundle,org.jboss.tools.common.verification,3.2.0.v20110729-1946-H142-Final,"org.jboss.tools.common.verification",1328636998971
stopped,bundle,org.jboss.tools.hibernate.xml,3.4.0.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.xml",1328636998971
stopped,bundle,org.jboss.tools.cdi.xml,1.0.0.v20110729-2123-H143-Final,"org.jboss.tools.cdi.xml",1328636998971
stopped,bundle,org.jboss.tools.esb.core,1.4.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.core",1328636998971
stopped,bundle,org.jboss.tools.jst.web.tiles,3.1.0.v20110729-2031-H177-Final,"org.jboss.tools.jst.web.tiles",1328636998971
stopped,bundle,org.jboss.tools.seam.pages.xml,3.1.0.v20110730-1321-H261-Final,"org.jboss.tools.seam.pages.xml",1328636998971
stopped,bundle,org.jboss.tools.seam.xml,3.2.0.v20110730-1321-H261-Final,"org.jboss.tools.seam.xml",1328636998971
stopped,bundle,org.jboss.tools.jst.web,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web",1328636998972
stopped,bundle,org.jboss.tools.common.model,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.model",1328636998972
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1328636998972
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1328636998972
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1328636998973
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1328636998973
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1328636998973
stopped,bundle,org.maven.ide.eclipse.launching,0.10.2.20100623-1649,"org.maven.ide.eclipse.launching",1328636998973
stopped,bundle,org.drools.eclipse,5.2.0.Final,"org.drools.eclipse",1328636998973
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1328636998973
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,0.9.0.v20110729-2006-H221-Final,"org.jboss.ide.eclipse.as.rse.ui",1328636998973
stopped,bundle,org.jboss.ide.eclipse.as.rse.core,0.9.0.v20110729-2006-H221-Final,"org.jboss.ide.eclipse.as.rse.core",1328636998974
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.2.0.v20110729-2006-H221-Final,"org.jboss.ide.eclipse.archives.webtools",1328636998974
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20110729-2006-H221-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1328636998974
